No,Ulasan,Translate_Ulasan,VADER A,VADER B,MANUAL
205,"dulu login sekali, bisa lgs transaksi. Trus logout. Skr, ga begitu. Kenapa ya? 1 transaksi butuh 2x login.","First log in once, you can carry out transactions. Then log out. Now, not like that. I wonder why? 1 transaction requires 2x login.",negatif,netral,netral
206,"*Edit: Alhamdulillah bug fix, jadi nyaman pakeknya. Mintol bug-nya force close di HP Android Xiaomi Redmi Note 11 Pro 5G. Gimana? responnya kok belum keluar. Kapan update bug force close, pas masuk home page udah force close aja. Coba instal ulang tetep,","*Edit: Thank God the bug was fixed, so it's comfortable to use. Mintol force close bug on Xiaomi Redmi Note 11 Pro 5G Android cellphone. How? the response hasn't come out yet. When is the force close bug update, when you enter the home page it just forces close. Try reinstalling anyway,",positif,netral,netral
207,Mantap,Great,positif,positif,positif
208,App apa ini. Saat urgent mau di gunakan ga bisa. Sedikit sedikit akun terblokir,"What app is this? When it's urgent, you can't use it. A few accounts have been blocked",negatif,netral,negatif
209,"Tidak bisa tarik tunai tanpa kartu,lucu tidak pernah ada perbaikan dari dulu","Can't withdraw cash without a card, funny there has never been an improvement since the past",negatif,netral,negatif
210,Cukup membantu dan bunga rendah,Quite helpful and low interest,positif,positif,positif
211,Tidak ada aplikasi pihak ke 3 tetap saja tidak bisa di buka...JD g tahu permasalahanya,"Without a 3rd party application, it still won't open...JD doesn't know what the problem is",negatif,netral,negatif
212,Oke,Too much,netral,netral,netral
213,Alhamdulillah sangat membantu sekali.. terimakasih banyak cimb niaga,Alhamdulillah it was very helpful.. thank you very much for the business,positif,positif,positif
214,"Istimewa, easy to use","Istimewa, easy to use",positif,positif,positif
215,Tks.,Tks.,netral,netral,positif
216,Oke banget..Octo Mobile semakin jaya,Very good...Octo Mobile is getting better,positif,positif,positif
217,Mantulll,Mantulll,netral,netral,positif
218,"praktis & efisien ... lanjutkan, Tks","practical and efficient ... continue, Text",positif,positif,positif
219,Untuk transfer Shopeepay blm bisa yaa,It's not possible to transfer Shopeepay yet,netral,netral,negatif
220,"dsruh perusahaan ganti CIMB Krn Bru kerjasama untuk sistem penggajian , download apk nya pas masuk malah Ket nya perangkat anda belum dapat digunakan untuk mengakses Octo , hp saya opo a31 ram 4/128 keknya gak jadul2 amat , hadeeh jadi lebih sulit klo gapake mbanking ðŸ¤¦","The company was forced to replace CIMB because of the collaboration for the payroll system, downloading the apk when you enter it actually shows that your device can't be used to access Octo, my cellphone is an A31 with 4/128 RAM and it doesn't seem very old school, but it's more difficult if you don't use banking 🤦",negatif,netral,negatif
221,Enak aja pas ada saldonya,It's just fine when you have a balance,positif,netral,netral
222,ðŸ˜Ž,😎,netral,netral,positif
223,""" Permintaan anda tidak dapat diproses "" Mohon maaf, saat ini perangkat anda belum dapat digunakan untuk mengakses octo mobile. Info lebih lanjut: 14041 Apaan tuh gak bisa digunainðŸ—¿","""Your request cannot be processed"" Sorry, currently your device cannot be used to access Octo Mobile. Further information: 14041 What can't be used🗿",positif,netral,negatif
224,Mohon maaf kalau ada kendala mahal,Sorry if there are expensive obstacles,negatif,negatif,negatif
225,"Dengan okto mobile kita jadi lebih aman bertransaksi, lebih memudahkan nasabah Suskes terus cimb niaga","With Octo Mobile, we can make transactions safer, making it easier for CIMB Niaga customers to continue to succeed",positif,positif,positif
226,"Selesai login langsung forceclose mulu, jadi blm nikmatin fitur2nya.. Saya ubah pas masalah ini terselesaikan.","After logging in, I immediately force close, so I haven't enjoyed the features yet... I changed it when this problem was resolved.",negatif,netral,negatif
227,Mudah,Easy,positif,positif,positif
228,"Aplikasinya tolong diperbaiki, terlalu berat, selalu keluar sendiri, masa cuman aplikasi m-banking musti pake spek hape dewa., aplikasi mobile banking yg lain padahal aman aja.","Please fix the application, it's too heavy, it always exits by itself, only the m-banking application has to use God's cellphone specs, other mobile banking applications are safe though.",positif,netral,negatif
229,kocak,hilarious,positif,positif,negatif
230,"Cepat,mudah lancar","Fast, easy and smooth",positif,positif,positif
231,Aplikasi lengkap tanpa ribet,Complete application without any hassle,netral,netral,positif
232,"Penipu, kirain dapet pulsa beneran, udah daftar pula belum kunjung di kirim pulsa nya, dan sering eror aplikasi nya ga enak buat dipake, lebih bagusan aplikasi sebelahðŸ‘Ž","Fraudster, I think I got real credit, I've registered and the credit hasn't been sent yet, and the app often has errors, it's not good to use, the other app is better👎",negatif,netral,negatif
233,Yg pake aplikasi ini fiks ras Babi,Those who use this application fix the Pig breed,netral,netral,negatif
234,Baik dan mudah,Good and easy,positif,positif,positif
235,"Bangke, gada kode otp pas login. Giliran coba buat registrasi akun baru ada kode otp. Mau ngehubungi service center harus pake pulsa, fucek lah ini gimana mau ada yg pake apk ini klo gk bisa login. Woi dev klo masalah ini dah kelar, kasih pemberitahuan lewat email. Awas klo taun depan masih blm bisa login. Gw spam bintang 1 pake akun bot","Bro, there was no OTP code when I logged in. It's your turn to try registering a new account with an OTP code. If you want to contact the service center you have to use credit, check this, how do you want someone to use this apk if you can't log in. Hey dev, if this problem is resolved, please notify me via email. Watch out if next year you still won't be able to log in. I spam 1 star using a bot account",negatif,netral,negatif
236,sejauh ini sudah bagus. hanya saja yg tadinya bisa tarik 50k dengan notifikasi aplikasi sekarang hanya bisa dengan sms untuk passcode-nya,"So far it's been good. It's just that previously you could withdraw 50k with application notifications, now you can only use SMS for the passcode",positif,netral,netral
237,"Tolong dong..aplikasi nya di perbaiki, sering keluar sendiri setiap mau di pake,lemot lgi sama kaya ATM nya, nyesel pake bank ini,","Please... fix the application, it often exits by itself every time you want to use it, it's slow again, just like the ATM, regret using this bank,",netral,netral,negatif
238,"Membantu sy untuk bayar tagihan niaga credits card free cash caranya pun mudah, & masih banyak fitur lainnya","Helping me to pay credit card free cash commercial bills is also easy, & there are many other features",positif,positif,positif
239,Sangat puas dan mantap tf gratis tanpa admin,"Very satisfied and great, free TF without admin",positif,positif,positif
240,Transfer cepat,Fast transfer,netral,netral,positif
241,Sangat memuaskan dgn layanan Cimb niaga syariah ðŸ™ dibantu dgn adanya octo mobile,Very satisfying with Cimb sharia business service 🙏 helped by the presence of octo mobile,positif,netral,positif
242,"Untuk membuat rekening baru kode verifikasi bisa masuk, tapi untuk log in kode verifikasi tidak bisa masuk","To create a new account the verification code can be entered, but to log in the verification code cannot be entered",positif,netral,negatif
243,Mempermudah bertransaksi dimana aja dan kapan saja,Makes transactions easier anywhere and anytime,positif,positif,positif
244,"CIMB MANTAP Aplikasi makin nyaman di pakai, dan ini CIMB fiturnya juga lengkap banget","CIMB is GREAT. The application is increasingly comfortable to use, and CIMB's features are also very complete",positif,positif,positif
245,"Cukup baik, tidak ada kendala jaringan..","Pretty good, no network problems..",positif,netral,positif
246,"mudah, detail","easy, detailed",positif,positif,positif
247,"Mudah, aman, sederhana","Easy, safe, simple",positif,positif,positif
248,"Aplikasi sering force close mulu, pas mau daftar rekening",The application often forces close just when I want to register an account,positif,netral,negatif
249,"Mantap, senang bisa punya octomobile, semua jadi simple","Great, happy to have an octomobile, everything is so simple",positif,positif,positif
250,Bagus jangan sering lemot,"Good, don't be too slow",positif,positif,positif
251,"Buat saya aplikasi ini sangat bagus, dan sangat bermanfaat.","For me, this application is very good, and very useful.",positif,positif,positif
252,akwwsnya cpt,akwwsnya cpt,netral,netral,positif
253,buruk,bad,negatif,negatif,negatif
254,Sangat puas dan gampang tuk transaksi,Very satisfied and easy to make transactions,positif,positif,positif
255,mantul,Really good,positif,positif,positif
256,Ok,Ok,positif,positif,positif
257,Makin lelet semakin update.. Kek macam Mobil banking abalÂ² bisa pulak setelah update semakin ga mudah & ga lancar di pakai nya.. LOL,It's getting slower and slower the more it's updated.. It's like fake mobile banking. Being able to go home after the update is getting less and less easy & not smooth to use.. LOL,positif,netral,negatif
258,Mantap ..... sangat memuaskan sejauh ini,Great.....very satisfying so far,positif,positif,positif
259,Goooddd,Goooood,netral,netral,positif
260,Ok,Ok,positif,positif,netral
261,Transaksi tanpa kartu cuma bisa kelipatan 100k,Cardless transactions can only be multiples of 100k,netral,netral,negatif
262,Bagus banget,Really good,positif,positif,positif
263,Makasih cimb,Thanks Cimb,positif,positif,positif
264,Mantabs...,Mantabox...,netral,netral,positif
265,"Kalo bisa kasi nilai minus ya saya kasi minus karna aplikasi bukannya mempermudah malah sering error, masak sekelas bank gak bisa bayar orang2 ahli untuk benerin aplikasi ini, kecewa berat deh pokoknya jadi pengen gak pake cimb niaga lagi","If I could give it a minus, I'd give it a minus because instead of making the application easier, it often crashes, the bank class can't afford expert people to fix this application, I'm really disappointed, I really don't want to use CIMB Niaga anymore.",negatif,netral,negatif
266,Oke Bgt,Very OK,positif,positif,positif
267,"Maaf knp Aplikasinya error terus ya? Mau daftar kode OTP ngak terkirim2 via SMS... Mau daftar apload foto susah,Udah selesai sampai akhir Akhir ehh... User ID nya salah... Udah tlpn CS tanya proses dftar dah selesai tp data pendaftarannya yg td dah selesai ternyata tidak ada,trus sisuruh coba restar ulang hpnya tetep aja error Udah dihapus intasl bolak balik masih aja kayak gitu terus aplikasinya error Gimana ini Tolong team IT nya Aplikasinya diperbaiki....","Sorry, why does the application keep having errors? If you want to register, the OTP code won't be sent via SMS... If you want to register, it's difficult to upload photos. It's finished until the end. Finally, ehh... The user ID is wrong... I've called CS to ask if the registration process has been completed, but the registration data has not been completed, it turns out it's not there. Yes, then I told him to try restarting the cellphone, still an error. I deleted it, installed it back and forth, still like that, then the application errored. What's this? Please IT team, fix the application...",negatif,netral,negatif
268,Kenapa sangat susah loginnnn,Why is it so difficult to log in?,negatif,netral,negatif
269,Mantap,Great,positif,positif,positif
270,gaje..udah buat akun id pas login ttp g ada kodeny,Gaje... I created an ID account when I logged in but there was no code,negatif,netral,negatif
271,Sangat baik,Very good,positif,positif,positif
272,Mantap,Great,positif,positif,positif
273,Penggunaan aplikasi yang mudah. Akses ke segala e-money mudah. Melakaku banyak transaksi melalu octo mobile dapat keuntungan lebih. Pertahankan yaa ðŸ˜—,Easy application use. Easy access to all e-money. Carrying out lots of transactions via octo mobile can get more benefits. Keep it up ya 😗,positif,netral,positif
